"","T1","T2","T3","T4","T5","T6","T7"
"S1",21,0,0,0,0,0,0
"S2",0,2,10,3,12,0,0
"S3",0,0,0,3,19,0,1
"S4",0,28,0,0,1,0,0
"S5",23,1,0,0,0,0,0
"S6",7,5,0,0,2,3,0
"S7",16,0,0,8,0,0,0
"S8",0,0,0,0,0,21,0
"S9",3,7,0,0,3,12,0
"S10",0,7,8,0,9,8,0
"S11",0,9,4,1,10,2,0
"S12",14,0,0,9,0,4,0
"S13",0,0,0,0,33,0,0
"S14",0,10,0,15,6,0,0
"S15",0,0,0,2,1,0,24
"S16",0,0,0,0,24,0,0
"S17",0,0,20,0,0,0,2
"S18",0,0,0,0,0,25,0
"S19",2,0,0,0,0,18,0
"S20",0,13,0,14,0,0,0
"S21",0,25,0,0,0,0,0
"S22",0,0,4,22,4,0,0
"S23",0,23,1,0,0,0,0
"S24",0,0,0,0,12,8,0
"S25",6,0,0,4,9,2,0
"S26",0,0,0,0,16,0,0
"S27",13,0,0,0,12,0,0
"S28",0,3,9,6,7,5,1
"S29",15,4,0,0,0,10,0
"S30",0,6,12,0,0,8,0
"S31",0,19,0,2,0,0,0
"S32",0,2,0,19,2,0,0
"S33",0,0,0,15,0,0,0
"S34",1,0,0,22,0,1,0
"S35",0,0,10,5,0,8,0
"S36",0,0,0,7,9,14,0
"S37",7,1,7,0,5,0,0
"S38",14,0,10,0,0,3,0
"S39",0,0,15,11,0,0,0
"S40",32,0,0,0,0,0,0
"S41",0,23,0,0,0,0,0
"S42",0,0,0,28,0,0,0
"S43",5,1,6,5,0,0,0
"S44",0,3,1,11,7,0,0
"S45",10,0,0,9,0,11,0
"S46",2,0,20,0,0,0,0
"S47",16,0,0,10,0,0,0
"S48",9,10,0,0,7,0,0
"S49",0,8,5,0,0,13,0
"S50",0,0,0,0,25,0,0
"S51",0,0,0,0,2,30,0
"S52",0,0,12,12,10,0,0
"S53",0,0,8,2,3,3,0
"S54",0,1,0,17,0,9,0
"S55",0,3,0,0,15,2,0
"S56",5,0,0,9,0,5,0
"S57",11,13,0,0,0,0,0
"S58",0,0,24,0,0,0,0
"S59",0,6,0,5,0,16,0
"S60",0,0,11,11,0,0,0
"S61",0,0,3,0,10,20,0
"S62",0,1,0,7,12,4,0
"S63",14,10,0,0,0,0,0
"S64",0,4,6,9,7,0,0
"S65",0,0,6,21,0,0,0
"S66",23,0,0,0,0,0,0
"S67",0,30,0,0,0,0,0
"S68",19,0,0,0,4,0,0
"S69",0,0,20,0,0,0,0
"S70",9,0,0,8,0,13,0
"S71",0,0,0,2,21,1,0
"S72",0,23,0,0,0,0,0
"S73",13,0,1,0,0,13,0
"S74",0,0,0,6,11,8,1
"S75",0,5,1,0,12,8,0
"S76",11,0,9,11,0,0,0
"S77",9,3,0,7,0,0,0
"S78",0,1,0,1,0,0,25
"S79",0,17,0,0,0,0,0
"S80",8,3,0,3,0,0,0
"S81",0,1,27,0,0,0,0
"S82",9,5,0,4,3,0,0
"S83",0,13,6,0,0,2,0
"S84",0,13,0,0,0,7,0
"S85",0,11,0,0,3,5,0
"S86",0,17,0,0,8,0,0
"S87",11,9,0,0,7,0,0
"S88",0,1,0,12,0,14,0
"S89",15,0,0,0,0,0,0
"S90",0,0,8,0,0,15,0
"S91",0,0,26,0,0,0,0
"S92",0,0,8,0,15,0,0
"S93",0,0,0,16,6,0,0
"S94",0,0,0,0,24,3,1
"S95",0,0,0,0,0,28,0
"S96",0,2,10,9,0,3,0
"S97",7,7,0,5,6,0,0
"S98",0,0,7,0,0,12,0
"S99",0,0,10,9,0,10,0
"S100",3,0,13,0,15,0,0
"S101",7,0,13,0,0,13,0
"S102",0,6,0,0,12,7,0
"S103",27,0,0,0,0,0,0
"S104",0,0,0,24,0,3,1
"S105",4,3,0,5,0,10,0
"S106",2,0,0,0,0,25,0
"S107",0,0,0,0,32,1,0
"S108",0,29,0,0,0,0,0
"S109",0,0,0,27,0,0,0
"S110",0,0,0,0,0,20,0
"S111",0,22,2,1,0,0,0
"S112",0,3,1,20,0,0,0
"S113",0,4,2,9,0,11,0
"S114",26,0,0,0,0,0,0
"S115",0,10,10,0,0,0,0
"S116",0,14,0,26,0,0,0
"S117",0,0,7,0,0,18,0
"S118",0,5,0,0,0,0,16
"S119",0,10,1,0,0,13,0
"S120",26,0,0,0,0,0,0
"S121",1,0,0,0,0,18,0
"S122",2,1,0,0,21,0,0
"S123",0,0,0,0,23,1,0
"S124",0,0,11,1,0,17,0
"S125",7,0,15,0,0,1,0
"S126",0,20,1,0,0,0,0
"S127",0,20,8,0,0,0,0
"S128",0,0,0,24,0,0,0
"S129",0,0,11,0,11,0,0
"S130",0,0,0,0,29,2,0
"S131",13,13,0,0,0,6,0
"S132",0,9,0,1,22,0,0
"S133",0,0,0,11,11,7,0
"S134",15,0,0,0,1,0,5
"S135",0,9,0,0,12,0,0
"S136",0,0,0,0,0,24,0
"S137",2,0,0,1,14,0,12
"S138",6,0,0,6,5,0,0
"S139",34,0,0,0,0,0,0
"S140",6,0,0,0,0,13,0
"S141",18,5,0,0,1,3,0
"S142",0,0,13,0,4,0,0
"S143",3,0,5,0,6,0,0
"S144",0,0,15,7,0,2,0
"S145",14,0,0,0,2,7,0
"S146",13,0,0,0,9,0,0
"S147",0,0,36,1,0,0,0
"S148",0,0,0,7,5,9,0
"S149",1,12,10,6,0,1,0
"S150",27,0,0,0,0,0,4
"S151",0,11,0,0,0,10,0
"S152",0,0,10,0,8,0,0
"S153",0,0,0,0,0,20,2
"S154",7,8,0,5,4,0,0
"S155",0,0,1,12,12,12,0
"S156",12,12,0,0,0,0,1
"S157",0,0,8,0,21,0,0
"S158",0,0,0,0,0,29,1
"S159",7,0,0,0,0,17,0
"S160",5,12,2,0,0,0,0
"S161",0,0,0,0,0,26,0
"S162",0,0,0,0,0,16,4
"S163",0,25,0,0,0,0,0
"S164",0,0,8,0,10,0,0
"S165",0,0,0,7,0,23,0
