"","T1","T2","T3","T4","T5","T6","T7"
"S1",0,0,4,7,0,2,0
"S2",4,5,0,0,4,0,0
"S3",0,0,0,2,1,4,0
"S4",0,4,4,1,0,0,1
"S5",0,0,0,0,2,0,6
"S6",0,0,0,0,7,0,0
"S7",8,0,2,0,0,0,0
"S8",0,2,5,0,0,1,0
"S9",0,0,0,11,0,0,0
"S10",0,0,0,0,11,0,0
"S11",0,0,0,0,0,3,9
"S12",0,0,0,10,0,2,0
"S13",7,0,5,0,0,0,0
"S14",0,1,0,4,2,0,0
"S15",0,10,6,0,0,0,0
"S16",1,0,0,7,0,0,0
"S17",0,0,7,1,0,2,0
"S18",0,8,0,1,0,0,0
"S19",9,0,2,0,0,0,0
"S20",0,0,7,0,0,0,0
"S21",0,0,0,3,3,0,0
"S22",8,0,0,0,0,0,0
"S23",7,0,0,0,1,0,0
"S24",0,6,2,0,0,0,0
"S25",3,0,0,0,0,3,0
"S26",0,12,0,0,0,0,0
"S27",2,0,10,0,0,0,0
"S28",0,0,0,14,0,0,0
"S29",0,23,0,0,0,0,0
"S30",0,0,7,5,0,0,0
"S31",4,3,4,0,0,0,0
"S32",0,0,0,0,19,0,0
"S33",0,0,0,0,0,8,0
"S34",0,4,0,0,1,3,0
"S35",0,11,0,0,0,0,0
"S36",0,11,0,0,0,0,0
"S37",0,1,6,2,0,0,0
"S38",7,0,4,0,0,0,0
"S39",2,1,4,0,0,0,0
"S40",8,0,1,0,6,0,0
"S41",0,0,2,3,0,6,0
"S42",0,0,0,2,2,0,0
"S43",7,0,0,0,1,0,2
"S44",0,9,0,0,0,2,0
"S45",0,6,0,1,1,3,0
"S46",0,8,0,0,0,0,1
"S47",1,5,0,1,0,2,0
"S48",0,0,4,2,0,2,0
"S49",9,0,2,0,0,0,0
"S50",0,3,0,0,0,7,1
"S51",6,0,0,0,0,0,0
"S52",1,0,0,0,0,9,0
"S53",0,0,10,0,0,0,0
"S54",0,12,0,0,0,0,0
"S55",1,2,2,0,0,3,0
"S56",0,0,3,6,0,4,0
"S57",3,0,4,1,0,0,0
"S58",8,0,0,0,0,8,0
"S59",1,3,0,0,8,0,0
"S60",0,0,7,1,0,0,0
"S61",1,0,0,0,0,11,0
"S62",4,1,5,0,0,0,0
"S63",0,0,11,0,0,0,0
"S64",0,0,0,4,0,5,0
"S65",0,1,2,0,2,0,1
"S66",0,13,0,0,0,0,0
"S67",0,0,0,6,2,0,0
"S68",0,4,0,2,5,0,0
"S69",0,10,0,0,0,3,0
"S70",0,14,0,1,0,0,0
"S71",0,0,0,6,5,0,0
"S72",0,0,0,9,0,0,0
"S73",9,0,0,0,0,0,1
"S74",10,0,0,0,0,0,0
"S75",7,0,0,0,0,0,0
"S76",0,6,0,2,0,4,0
"S77",7,1,0,0,0,0,0
"S78",8,0,0,0,1,0,0
"S79",0,7,0,4,0,0,0
"S80",0,0,7,1,7,0,0
"S81",0,0,6,0,7,0,0
"S82",1,0,4,0,2,0,0
"S83",0,0,0,0,5,1,0
"S84",0,0,0,5,0,0,0
"S85",0,0,9,0,0,0,0
"S86",2,0,0,0,0,5,0
"S87",3,8,0,0,4,0,0
"S88",0,0,6,0,0,0,0
"S89",8,0,0,0,0,0,0
"S90",5,0,0,0,6,0,0
"S91",0,0,4,2,0,1,0
"S92",0,0,3,6,0,4,0
"S93",0,0,10,0,0,0,0
"S94",0,0,0,11,0,0,0
"S95",3,0,0,0,0,4,0
"S96",0,0,0,9,0,0,0
"S97",0,0,0,0,10,0,0
"S98",0,0,0,3,4,2,0
"S99",0,9,0,0,2,0,0
