"","T1","T2","T3","T4","T5","T6","T7"
"S1",0,9,0,0,8,0,0
"S2",0,10,0,2,14,0,0
"S3",0,11,18,0,0,0,0
"S4",0,17,1,0,0,5,0
"S5",0,0,16,0,0,22,0
"S6",2,0,0,8,7,0,0
"S7",0,0,3,0,2,21,0
"S8",0,1,18,0,0,0,0
"S9",8,0,0,0,17,6,0
"S10",0,0,0,0,0,3,23
"S11",1,4,14,0,0,11,0
"S12",0,0,0,23,0,0,0
"S13",0,8,0,5,12,0,0
"S14",9,0,8,0,9,0,0
"S15",0,6,4,0,0,6,0
"S16",0,0,12,6,2,10,0
"S17",0,0,0,0,0,29,0
"S18",0,0,0,20,0,15,0
"S19",0,29,0,0,0,0,0
"S20",0,20,0,0,0,10,0
"S21",0,0,12,0,20,0,0
"S22",10,6,3,2,7,0,0
"S23",0,8,1,0,13,0,0
"S24",0,0,10,6,9,0,0
"S25",7,0,15,0,0,2,0
"S26",0,0,0,4,8,11,0
"S27",9,9,11,0,0,0,0
"S28",19,0,0,0,0,8,0
"S29",0,22,0,3,0,0,0
"S30",0,0,1,1,16,0,0
"S31",15,4,0,0,0,0,0
"S32",0,0,0,0,22,0,7
"S33",6,3,5,8,0,9,0
"S34",0,0,0,8,10,0,0
"S35",0,0,0,0,37,0,0
"S36",25,0,0,0,0,0,0
"S37",2,0,26,0,0,0,0
"S38",2,6,4,2,0,9,0
"S39",16,0,0,9,0,0,0
"S40",0,0,11,14,0,2,1
"S41",0,10,18,0,0,0,0
"S42",28,2,0,0,0,0,0
"S43",0,0,19,7,0,0,0
"S44",0,14,0,1,6,0,0
"S45",0,0,13,0,0,18,0
"S46",11,16,0,0,0,0,0
"S47",0,3,0,0,0,23,0
"S48",0,0,0,11,0,10,0
"S49",0,0,4,0,0,0,18
"S50",14,0,0,0,9,9,0
"S51",0,7,0,0,0,15,0
"S52",10,0,1,11,0,0,0
"S53",0,0,0,12,0,19,0
"S54",0,3,6,0,0,6,0
"S55",12,0,0,10,1,0,0
"S56",0,0,19,0,0,0,0
"S57",0,1,0,0,1,25,0
"S58",0,0,1,13,15,0,0
"S59",21,0,0,0,0,0,0
"S60",1,0,0,31,0,1,0
"S61",9,2,0,0,11,0,0
"S62",0,0,0,0,0,36,0
"S63",0,0,1,0,0,27,0
"S64",8,0,0,18,0,0,0
"S65",0,0,0,2,22,0,0
"S66",0,0,17,0,14,0,0
"S67",0,16,0,0,1,0,0
"S68",0,0,0,34,0,0,0
"S69",21,1,0,0,0,10,0
"S70",5,4,2,8,5,0,0
"S71",23,0,0,0,0,0,0
"S72",0,5,0,27,0,0,0
"S73",0,27,0,0,3,0,0
"S74",0,0,0,0,0,22,0
"S75",0,0,22,0,0,0,2
"S76",4,12,2,1,0,0,0
"S77",0,25,0,7,0,0,0
"S78",15,0,4,0,0,8,0
"S79",0,0,3,3,14,3,0
"S80",0,11,2,12,0,0,0
"S81",0,0,0,0,1,32,0
"S82",0,21,0,0,0,0,0
"S83",3,0,27,0,0,1,0
"S84",0,0,13,0,7,0,0
"S85",2,14,0,0,7,0,0
"S86",0,7,0,0,0,8,0
"S87",0,0,0,11,1,8,0
"S88",0,0,1,2,1,12,0
"S89",21,0,0,0,0,0,0
"S90",0,0,0,0,24,0,0
"S91",9,0,0,0,0,13,0
"S92",0,0,3,0,15,1,0
"S93",0,3,6,17,2,0,0
"S94",0,0,29,0,1,0,0
"S95",0,0,0,24,0,1,0
"S96",0,0,0,0,0,35,0
"S97",0,27,0,0,0,0,0
"S98",9,3,0,0,0,5,0
"S99",0,30,0,0,0,0,0
"S100",0,2,27,1,0,0,2
"S101",14,0,0,0,17,7,0
"S102",0,10,0,7,12,0,0
"S103",11,0,0,14,0,0,0
"S104",3,5,6,3,0,5,1
"S105",0,0,8,0,0,15,0
"S106",0,0,0,0,0,15,7
"S107",0,0,24,0,0,0,0
"S108",5,2,2,6,6,0,0
"S109",0,1,0,0,0,19,0
"S110",34,0,0,0,0,0,0
"S111",0,13,14,1,0,0,0
"S112",8,0,5,0,0,10,0
"S113",0,15,10,0,0,0,0
"S114",16,5,0,3,0,1,0
"S115",0,0,2,17,0,0,0
"S116",0,16,7,0,0,0,0
"S117",0,10,12,0,0,0,0
"S118",5,1,12,5,0,0,4
"S119",25,0,0,1,0,0,0
"S120",15,0,0,0,12,0,0
"S121",0,0,26,0,0,0,0
"S122",28,2,0,0,0,0,0
"S123",0,12,5,0,7,0,0
"S124",8,0,13,12,0,0,0
"S125",10,9,0,0,0,11,0
"S126",0,4,8,0,15,0,0
"S127",0,1,14,0,6,0,0
"S128",13,0,0,13,0,0,0
"S129",0,0,0,0,0,19,0
"S130",0,0,2,9,15,0,0
"S131",0,0,20,0,0,2,4
"S132",10,8,3,0,6,0,0
"S133",0,7,4,0,0,0,0
"S134",0,0,0,18,9,0,1
"S135",16,0,0,0,0,0,0
"S136",0,14,0,0,0,6,0
"S137",0,8,0,0,17,0,0
"S138",0,0,0,16,0,14,0
"S139",11,0,0,0,0,17,0
"S140",0,1,0,24,0,0,0
"S141",0,3,26,0,0,0,0
"S142",7,0,4,0,9,0,0
"S143",0,0,3,0,27,0,0
"S144",0,0,15,0,6,0,0
"S145",0,6,22,0,0,2,0
