"","T1","T2","T3","T4","T5","T6","T7"
"S1",0,0,15,0,0,5,0
"S2",0,9,0,12,17,0,0
"S3",0,7,0,7,0,4,1
"S4",10,0,0,12,0,0,0
"S5",0,11,9,1,1,0,0
"S6",0,1,1,6,6,4,0
"S7",10,4,0,0,2,0,0
"S8",0,11,0,15,0,8,0
"S9",0,1,12,11,0,4,0
"S10",0,0,9,20,0,0,0
"S11",0,0,0,31,0,0,0
"S12",6,0,0,18,0,0,0
"S13",0,13,0,6,1,9,0
"S14",0,0,0,23,0,0,1
"S15",0,9,0,9,0,0,0
"S16",0,13,0,0,9,0,0
"S17",0,0,0,0,0,31,0
"S18",0,15,0,6,0,1,0
"S19",0,0,13,0,4,0,7
"S20",16,0,9,0,0,0,0
"S21",0,1,0,0,0,30,0
"S22",19,0,0,0,0,0,0
"S23",0,0,0,19,0,0,0
"S24",1,0,0,0,0,33,0
"S25",0,0,0,0,0,31,0
"S26",0,2,15,8,1,5,0
"S27",0,1,9,0,15,0,0
"S28",0,12,0,9,0,0,0
"S29",0,0,0,3,0,18,0
"S30",0,8,9,4,1,0,0
"S31",10,0,0,0,11,0,0
"S32",0,0,0,0,0,20,0
"S33",0,0,2,0,13,0,0
"S34",1,14,12,0,0,0,0
"S35",0,0,9,0,14,0,0
"S36",0,23,0,7,0,0,0
"S37",4,25,0,0,2,0,0
"S38",0,0,0,32,0,0,0
"S39",9,0,0,0,0,9,0
"S40",3,13,10,6,0,0,0
"S41",0,15,0,0,14,5,0
"S42",10,2,0,0,0,15,0
"S43",1,13,0,0,0,21,0
"S44",9,0,13,0,9,0,0
"S45",6,5,0,5,0,0,0
"S46",0,0,6,7,0,13,0
"S47",0,0,0,0,0,25,0
"S48",12,10,1,0,0,9,0
"S49",0,0,0,0,5,30,0
"S50",0,0,0,2,25,2,0
"S51",8,7,10,0,4,0,0
"S52",0,13,20,0,0,0,0
"S53",0,6,0,0,8,10,1
"S54",0,6,12,0,6,10,0
"S55",0,23,0,0,0,0,0
"S56",0,0,24,0,0,0,0
"S57",0,0,0,22,0,0,0
"S58",6,11,8,0,0,0,0
"S59",9,0,8,0,0,0,0
"S60",1,0,0,0,24,0,0
"S61",1,0,0,6,9,9,3
"S62",14,0,0,10,0,0,0
"S63",7,0,9,0,0,1,0
"S64",0,0,0,0,0,18,0
"S65",0,25,0,0,0,0,0
"S66",0,24,0,0,0,0,0
"S67",0,30,0,0,0,0,0
"S68",0,0,14,0,12,0,0
"S69",0,1,0,23,2,0,0
"S70",1,0,26,0,0,0,1
"S71",3,13,3,8,0,0,0
"S72",0,12,0,10,0,3,0
"S73",0,0,17,0,0,11,0
"S74",11,0,0,9,0,3,0
"S75",1,0,0,0,20,4,0
"S76",0,0,8,0,18,0,0
"S77",0,0,0,0,0,22,0
"S78",14,5,0,12,0,0,0
"S79",0,14,0,5,0,7,0
"S80",0,0,21,0,4,0,0
"S81",0,0,0,12,9,8,0
"S82",0,0,26,0,0,0,0
"S83",0,26,0,0,0,0,0
"S84",0,8,0,0,0,16,0
"S85",0,0,0,11,2,11,0
"S86",0,5,0,12,0,0,0
"S87",17,0,0,0,0,0,7
"S88",19,0,0,7,0,0,0
"S89",0,0,0,8,0,15,0
"S90",2,0,17,0,0,0,0
"S91",0,0,23,0,0,1,2
"S92",0,4,0,0,15,0,0
"S93",7,0,1,0,16,0,0
"S94",6,33,0,0,0,0,0
"S95",0,0,2,0,17,2,4
"S96",5,0,6,9,0,0,0
"S97",0,0,0,23,0,0,0
"S98",0,23,0,0,0,0,0
"S99",0,0,11,10,0,0,0
"S100",0,0,12,1,0,10,0
"S101",0,0,13,15,1,0,0
"S102",18,0,4,0,0,0,0
"S103",1,7,4,15,0,0,0
"S104",0,0,0,23,0,0,0
