"","T1","T2","T3","T4","T5","T6","T7"
"S1",0,1,0,0,1,2,0
"S2",0,0,0,0,5,0,0
"S3",0,0,6,1,0,0,0
"S4",0,0,0,2,0,0,0
"S5",0,0,1,0,3,0,0
"S6",0,6,0,0,0,0,0
"S7",0,0,0,0,0,4,0
"S8",0,0,3,2,0,0,0
"S9",0,0,3,0,0,0,0
"S10",2,0,1,0,0,3,0
"S11",0,0,0,0,0,1,1
"S12",0,0,1,0,2,0,0
"S13",6,0,0,1,0,0,0
"S14",0,0,1,0,4,1,0
"S15",0,3,0,2,0,0,0
"S16",0,9,0,0,0,0,0
"S17",0,0,0,7,0,0,0
"S18",0,2,0,0,0,0,0
"S19",5,0,0,0,0,0,0
"S20",0,0,0,0,0,7,0
"S21",0,0,0,0,2,4,0
"S22",0,1,0,0,0,3,0
"S23",0,0,0,0,0,6,0
"S24",3,0,0,1,0,1,0
"S25",5,0,0,0,0,0,0
"S26",0,4,0,0,0,0,0
"S27",0,2,0,0,0,3,0
"S28",0,0,0,7,0,0,0
"S29",0,2,0,0,2,0,0
"S30",1,0,0,0,0,0,2
"S31",4,3,0,0,0,0,0
"S32",0,0,0,0,0,6,0
"S33",0,0,0,0,4,0,0
"S34",0,0,0,0,2,5,0
"S35",0,0,0,5,0,2,0
"S36",0,0,2,1,0,0,0
"S37",0,0,3,0,0,1,0
"S38",0,2,0,2,0,0,0
"S39",0,0,0,3,0,2,0
"S40",2,0,0,3,1,0,0
"S41",8,0,0,0,0,0,0
"S42",0,0,0,0,6,0,1
"S43",1,1,0,0,1,0,0
"S44",0,0,0,2,1,0,2
"S45",3,4,0,0,0,0,0
"S46",4,0,0,0,1,0,0
"S47",3,2,0,0,0,0,0
"S48",0,0,4,0,0,0,0
"S49",1,1,3,0,0,1,0
"S50",0,0,0,5,0,0,0
"S51",0,2,0,1,1,0,0
"S52",0,0,1,0,0,3,0
"S53",0,0,4,0,0,0,0
"S54",4,2,0,0,0,0,0
"S55",4,0,0,0,7,0,0
"S56",2,0,1,0,0,1,0
"S57",0,0,8,0,0,0,0
"S58",0,0,0,0,0,2,0
"S59",0,0,0,1,1,0,0
"S60",0,7,1,0,0,0,0
