"","T1","T2","T3","T4","T5","T6","T7"
"S1",0,0,0,0,15,0,0
"S2",0,0,8,1,0,0,0
"S3",0,0,0,0,8,4,0
"S4",3,0,0,2,0,5,1
"S5",0,1,0,4,0,5,0
"S6",0,0,2,0,0,0,7
"S7",14,0,0,0,0,0,0
"S8",7,0,0,8,0,0,0
"S9",0,8,0,0,8,0,0
"S10",0,1,6,0,0,4,0
"S11",0,0,11,0,0,0,0
"S12",0,7,0,0,0,0,0
"S13",0,0,6,0,1,1,1
"S14",0,0,0,0,8,0,0
"S15",8,0,0,0,0,0,0
"S16",0,6,0,0,0,0,0
"S17",0,0,0,0,7,11,0
"S18",0,0,0,0,0,9,0
"S19",0,0,6,0,2,0,0
"S20",0,0,0,0,4,0,0
"S21",0,1,2,5,0,2,0
"S22",0,0,13,0,0,0,0
"S23",1,5,0,5,0,1,0
"S24",0,0,7,0,0,0,0
"S25",0,0,0,0,0,6,0
"S26",0,0,2,2,0,2,0
"S27",0,0,0,5,4,0,0
"S28",0,1,3,4,2,7,0
"S29",4,7,0,0,1,1,0
"S30",0,0,0,0,0,9,0
"S31",3,0,4,0,0,3,0
"S32",0,6,0,0,0,0,0
"S33",9,0,0,0,0,4,0
"S34",9,0,0,1,0,2,0
"S35",0,16,0,0,0,0,0
"S36",0,0,0,7,0,3,0
"S37",9,0,0,0,0,0,0
"S38",8,0,0,0,0,0,0
"S39",0,5,1,0,0,1,0
"S40",0,2,4,3,0,1,0
"S41",0,0,3,0,3,0,0
"S42",0,0,3,0,6,0,0
"S43",4,0,3,0,0,0,0
"S44",0,0,0,0,1,9,0
"S45",1,0,1,7,0,1,0
"S46",0,0,0,0,1,18,0
"S47",6,0,0,4,0,3,0
"S48",0,0,0,0,8,0,2
"S49",0,2,2,0,0,0,0
"S50",0,0,7,0,0,1,0
"S51",1,0,0,0,0,10,0
"S52",0,0,4,4,0,4,0
"S53",0,4,0,0,4,0,0
"S54",0,0,10,0,0,0,0
"S55",0,5,0,0,7,0,0
"S56",6,0,5,0,0,0,0
"S57",1,0,0,6,0,1,0
"S58",6,0,0,0,0,2,0
"S59",0,1,0,0,9,0,0
"S60",0,0,6,4,4,0,0
"S61",0,5,0,5,0,0,0
"S62",0,15,0,0,0,0,0
"S63",0,3,0,0,5,2,0
"S64",9,0,0,0,0,1,0
"S65",6,1,4,0,0,0,0
"S66",5,5,0,3,2,2,0
