"","T1","T2","T3","T4","T5","T6","T7"
"S1",0,5,0,0,0,0,0
"S2",0,0,2,0,10,0,0
"S3",0,1,8,3,3,0,0
"S4",1,11,0,0,0,0,0
"S5",0,1,0,0,0,14,0
"S6",0,0,0,1,0,6,1
"S7",0,6,2,0,0,10,0
"S8",0,0,0,9,0,0,0
"S9",2,3,0,3,1,0,0
"S10",0,12,0,0,0,0,0
"S11",0,3,0,0,5,0,1
"S12",5,0,8,0,0,0,0
"S13",0,0,11,0,0,0,0
"S14",0,0,6,0,0,2,0
"S15",11,0,0,0,0,0,0
"S16",0,0,0,8,0,0,0
"S17",0,0,4,0,1,2,0
"S18",0,0,0,0,0,0,12
"S19",10,0,0,0,0,0,0
"S20",0,2,4,1,0,0,0
"S21",0,0,2,5,5,0,0
"S22",10,0,0,0,0,0,0
"S23",7,0,0,0,0,0,0
"S24",2,3,0,8,0,0,0
"S25",1,3,0,0,6,0,0
"S26",0,0,12,0,0,0,0
"S27",1,0,0,2,3,2,0
"S28",0,13,0,0,6,0,0
"S29",0,2,5,0,0,5,0
"S30",0,0,1,0,0,5,0
"S31",2,0,1,0,2,2,0
"S32",0,3,0,3,0,2,0
"S33",0,0,0,3,3,4,0
"S34",0,0,0,0,0,14,0
"S35",0,0,0,0,14,0,0
"S36",1,0,0,0,10,0,0
"S37",0,0,0,0,9,5,1
"S38",4,0,6,0,0,0,0
"S39",0,0,0,0,0,9,0
"S40",0,0,6,0,0,9,0
"S41",5,0,1,3,0,8,0
"S42",5,0,0,0,0,0,0
"S43",0,0,1,0,4,8,0
"S44",1,0,0,2,0,4,0
"S45",1,0,0,0,0,13,0
"S46",0,7,3,0,0,1,0
"S47",6,2,0,1,0,0,0
"S48",6,0,0,6,0,0,0
"S49",0,1,0,0,2,0,0
"S50",3,0,3,0,0,6,0
"S51",0,4,9,0,0,0,0
"S52",2,0,4,2,0,0,0
"S53",0,0,0,0,0,11,0
"S54",0,0,11,0,0,0,0
"S55",0,7,0,6,0,0,0
"S56",0,5,0,0,0,4,0
"S57",0,14,0,0,0,0,0
"S58",0,0,0,1,1,4,0
"S59",0,15,0,0,0,0,0
"S60",0,0,3,3,0,0,0
"S61",3,3,0,5,0,0,0
"S62",0,0,0,0,15,0,0
"S63",0,2,4,0,3,0,1
"S64",0,0,14,0,0,0,0
"S65",1,5,3,0,0,1,0
"S66",0,0,6,0,0,0,0
"S67",0,5,0,0,5,0,0
"S68",0,0,4,0,0,7,0
"S69",1,0,0,0,4,0,6
"S70",4,0,0,0,1,0,0
"S71",2,7,0,2,0,0,0
"S72",7,0,0,0,0,0,0
"S73",16,0,0,0,0,0,0
"S74",0,0,5,0,0,7,0
"S75",0,0,0,1,1,3,0
"S76",0,0,0,0,8,0,0
"S77",6,0,0,0,0,0,0
"S78",0,6,0,0,0,6,0
"S79",0,0,0,4,0,6,0
"S80",9,0,0,0,0,0,0
"S81",0,0,0,6,0,1,0
"S82",0,0,1,2,3,0,0
"S83",6,1,0,0,0,0,0
"S84",6,1,2,0,0,0,0
"S85",0,4,0,0,0,5,0
"S86",0,0,10,0,0,0,2
"S87",0,8,1,1,0,0,4
"S88",0,1,0,0,5,5,0
"S89",0,4,1,0,6,0,0
"S90",0,2,0,6,0,0,0
"S91",9,0,0,0,0,0,0
"S92",10,0,1,0,0,0,0
"S93",2,8,5,4,3,0,0
