"","T1","T2","T3","T4","T5","T6","T7"
"S1",5,0,0,0,0,0,0
"S2",2,0,1,0,3,5,0
"S3",7,0,0,2,0,5,0
"S4",0,0,0,1,1,5,0
"S5",0,3,0,0,0,7,0
"S6",0,0,11,0,0,0,0
"S7",0,2,0,3,6,0,0
"S8",0,0,6,2,0,1,0
"S9",4,2,3,0,4,0,0
"S10",6,0,0,0,2,1,0
"S11",0,0,11,0,0,0,0
"S12",2,2,0,0,1,0,3
"S13",0,11,1,0,0,0,0
"S14",2,6,2,0,0,0,0
"S15",0,5,3,0,0,4,0
"S16",0,0,2,7,0,0,0
"S17",0,18,0,0,0,0,2
"S18",10,0,0,0,0,0,0
"S19",0,0,0,0,0,7,0
"S20",0,0,9,0,0,0,0
"S21",0,0,0,20,0,0,0
"S22",4,5,0,0,0,0,0
"S23",0,0,0,0,3,5,0
"S24",0,0,8,0,0,0,0
"S25",0,0,1,0,0,9,0
"S26",2,0,3,2,0,1,0
"S27",1,0,0,0,5,6,0
"S28",0,0,5,1,0,0,0
"S29",3,0,0,4,2,0,0
"S30",0,0,0,4,0,5,0
"S31",0,0,7,1,0,0,0
"S32",1,0,0,7,1,0,0
"S33",4,3,0,0,0,3,0
"S34",0,0,0,1,8,0,0
"S35",0,4,2,8,0,0,0
"S36",0,3,0,0,0,4,0
"S37",0,0,5,0,0,2,0
"S38",3,4,0,0,0,0,0
"S39",0,0,0,6,0,4,0
"S40",0,0,0,5,0,0,0
"S41",0,5,4,0,0,0,0
"S42",0,0,0,0,11,0,0
"S43",0,4,2,0,5,0,0
"S44",0,4,0,6,0,0,0
"S45",0,2,0,7,4,1,0
"S46",3,0,0,1,1,0,0
"S47",0,0,0,4,2,3,0
"S48",2,0,3,0,3,0,0
"S49",13,0,0,0,0,0,0
"S50",3,0,0,3,0,3,0
"S51",0,0,0,4,1,2,0
"S52",0,0,0,0,11,0,0
"S53",0,0,8,2,0,2,0
"S54",0,7,0,0,6,0,0
"S55",5,1,0,0,0,2,0
"S56",5,0,0,4,0,0,0
"S57",1,3,0,0,5,0,0
"S58",1,0,0,9,1,0,1
"S59",0,12,0,1,0,0,1
"S60",2,6,0,1,2,0,0
"S61",4,0,0,0,3,6,0
"S62",0,0,0,9,0,0,0
"S63",0,0,5,0,0,10,0
"S64",0,7,0,0,3,0,0
"S65",3,0,7,0,0,1,0
"S66",4,3,0,0,0,0,0
"S67",0,0,4,0,0,0,0
"S68",0,0,0,1,0,3,0
"S69",0,6,0,3,0,0,0
