"","T1","T2","T3","T4","T5","T6","T7"
"S1",0,0,0,0,12,0,0
"S2",0,0,0,9,0,0,0
"S3",0,0,8,0,0,5,0
"S4",0,3,0,0,5,0,1
"S5",0,7,0,0,0,0,0
"S6",3,2,0,2,0,0,0
"S7",0,0,7,0,8,0,0
"S8",4,0,4,0,0,0,0
"S9",0,0,5,0,0,2,0
"S10",0,0,0,1,2,3,0
"S11",2,0,5,4,0,0,0
"S12",0,1,5,1,4,0,0
"S13",14,0,0,0,1,1,0
"S14",7,0,0,0,6,0,0
"S15",1,4,1,0,2,1,0
"S16",0,0,6,0,5,0,0
"S17",0,1,3,1,0,2,0
"S18",0,0,0,4,5,4,0
"S19",1,2,0,0,2,2,0
"S20",0,0,6,0,5,2,0
"S21",0,0,0,0,11,0,0
"S22",3,6,3,0,0,0,0
"S23",0,7,7,1,0,0,0
"S24",1,0,0,3,0,1,0
"S25",0,3,0,0,0,0,8
"S26",0,0,11,0,0,1,0
"S27",3,5,0,0,0,2,0
"S28",2,7,0,4,0,0,0
"S29",0,0,0,5,9,0,0
"S30",1,0,2,0,0,5,0
"S31",0,0,0,0,5,0,0
"S32",1,7,0,0,3,4,0
"S33",0,0,0,0,14,0,0
"S34",0,6,2,0,2,2,0
"S35",4,7,0,0,3,0,0
"S36",0,7,0,0,4,0,0
"S37",0,0,0,0,16,0,0
"S38",0,9,0,0,0,0,0
"S39",2,1,2,0,4,0,0
"S40",7,0,0,0,0,2,0
"S41",1,0,0,8,0,0,0
"S42",0,4,1,0,0,0,0
"S43",1,7,0,0,0,0,0
"S44",0,1,0,0,0,8,0
"S45",7,0,3,0,0,0,0
"S46",0,0,1,0,0,6,0
"S47",0,0,1,0,7,4,0
"S48",2,0,0,6,0,7,0
"S49",0,7,0,1,1,0,0
"S50",0,0,2,2,1,0,0
"S51",0,0,0,0,7,0,0
"S52",0,0,0,8,0,0,0
"S53",0,0,4,1,0,1,0
"S54",0,6,0,0,3,0,0
"S55",0,0,1,4,0,0,1
"S56",0,0,2,3,0,3,0
"S57",0,0,0,3,0,3,0
"S58",0,3,0,2,5,0,0
"S59",0,0,0,4,0,4,0
"S60",0,0,1,0,1,0,9
"S61",2,2,0,0,0,0,0
"S62",2,0,0,0,0,0,9
"S63",1,0,3,1,0,3,0
"S64",0,0,0,0,9,5,0
"S65",3,5,0,3,0,0,0
"S66",0,4,0,0,1,0,0
"S67",0,4,0,0,1,7,0
"S68",1,4,5,0,3,0,0
"S69",3,0,0,1,3,0,0
"S70",4,0,0,5,0,3,0
"S71",1,0,4,0,0,7,0
"S72",0,0,3,0,0,5,0
"S73",0,0,0,5,0,2,0
"S74",0,0,0,7,1,0,0
"S75",0,0,5,2,3,0,0
"S76",0,0,0,0,15,0,0
"S77",0,0,1,3,0,0,0
"S78",0,7,0,0,0,0,0
"S79",0,10,0,0,3,0,0
"S80",0,0,9,0,0,0,0
"S81",7,1,0,3,0,0,0
"S82",6,0,0,0,4,0,0
"S83",0,0,0,2,0,9,0
"S84",0,0,2,0,5,4,0
"S85",0,0,0,2,0,8,0
"S86",0,0,0,3,2,3,0
"S87",0,0,0,1,14,0,0
"S88",0,0,0,0,0,8,0
"S89",0,0,0,8,8,3,0
"S90",6,0,0,0,0,0,0
"S91",0,0,3,0,4,8,0
"S92",7,0,0,0,0,0,0
"S93",1,3,8,0,0,0,0
"S94",0,0,0,0,10,0,0
"S95",0,0,0,0,0,4,0
"S96",1,4,0,0,5,1,0
"S97",0,4,0,3,3,0,0
"S98",3,0,3,2,0,0,0
"S99",0,0,0,0,9,0,0
"S100",0,0,11,0,0,0,0
"S101",4,1,1,0,0,0,0
"S102",0,4,5,0,0,0,0
"S103",0,0,0,8,0,0,0
"S104",0,0,0,0,6,0,0
"S105",0,1,11,0,0,0,0
"S106",7,0,1,0,0,0,0
"S107",0,1,0,5,0,0,0
"S108",4,2,0,0,0,0,0
"S109",1,0,0,6,0,1,0
"S110",2,0,0,0,3,7,0
"S111",7,0,0,5,0,0,0
"S112",0,1,0,0,9,0,0
"S113",0,0,1,3,12,0,0
"S114",1,17,0,0,0,0,0
"S115",0,18,0,0,0,0,0
"S116",0,4,8,0,0,0,0
"S117",0,14,0,0,0,0,0
"S118",0,0,0,12,2,0,2
"S119",0,5,7,0,0,1,0
"S120",0,1,13,0,0,0,0
"S121",0,0,0,0,7,1,0
"S122",0,0,5,2,6,0,0
"S123",0,0,0,0,0,10,0
"S124",1,6,0,4,0,0,0
"S125",8,4,1,0,0,0,0
"S126",6,0,0,0,3,0,0
"S127",0,8,0,0,0,0,0
"S128",0,6,1,5,0,2,0
"S129",0,3,0,0,1,5,0
"S130",6,0,0,5,8,0,0
"S131",0,0,15,0,0,0,0
"S132",1,1,4,2,0,0,0
"S133",5,0,0,0,6,0,0
"S134",0,0,0,0,14,0,0
"S135",0,0,4,0,0,8,0
"S136",1,0,4,7,1,0,0
"S137",0,4,0,6,1,0,0
"S138",5,0,0,1,0,0,0
"S139",5,0,0,0,0,7,0
"S140",3,0,5,1,0,0,0
"S141",0,0,0,0,5,4,0
"S142",0,0,0,0,4,5,0
"S143",0,13,0,0,0,0,0
"S144",0,14,0,0,0,0,0
"S145",0,1,0,0,0,11,0
"S146",0,0,0,0,0,6,0
"S147",0,6,0,0,9,0,0
"S148",0,4,4,0,0,0,0
"S149",2,3,0,0,1,7,0
"S150",5,1,0,0,0,6,0
"S151",1,2,1,0,3,0,0
"S152",0,3,7,0,0,0,1
"S153",6,1,0,2,1,0,0
"S154",6,0,0,0,0,0,0
"S155",10,0,0,0,0,0,0
"S156",0,0,7,2,3,0,0
"S157",10,0,0,1,0,0,0
"S158",0,2,6,3,0,0,0
"S159",0,3,8,0,0,0,0
"S160",0,3,1,0,0,0,0
"S161",0,3,1,0,3,0,0
"S162",3,2,0,0,0,0,0
"S163",0,0,1,0,12,0,0
"S164",0,0,4,0,0,2,0
"S165",0,2,0,9,0,0,0
"S166",4,0,4,0,0,1,0
"S167",0,0,4,0,2,0,0
"S168",1,3,0,5,0,0,0
"S169",0,0,3,1,0,4,0
"S170",0,0,4,3,2,0,0
"S171",4,0,5,0,0,0,1
"S172",9,0,0,0,0,0,0
"S173",0,0,4,8,0,4,0
"S174",0,0,0,0,0,10,1
"S175",0,2,4,0,0,4,0
"S176",0,0,0,1,13,1,0
"S177",0,10,0,0,6,0,0
"S178",0,0,0,3,8,0,0
"S179",2,1,0,0,0,5,0
"S180",0,0,0,2,0,3,0
"S181",0,0,1,9,0,0,0
"S182",7,0,0,0,0,0,0
"S183",1,1,0,6,0,0,0
"S184",4,3,0,0,3,0,0
"S185",3,0,0,2,0,0,0
"S186",0,0,0,2,1,3,0
"S187",0,12,0,0,0,0,3
