"","T1","T2","T3","T4","T5","T6","T7"
"S1",0,0,25,0,0,0,0
"S2",0,18,0,0,1,0,0
"S3",10,6,0,11,1,0,0
"S4",0,15,10,0,0,0,1
"S5",0,0,0,7,0,13,3
"S6",0,0,4,7,8,6,0
"S7",0,1,0,1,0,21,0
"S8",0,0,15,0,15,0,0
"S9",0,5,0,13,13,0,0
"S10",8,0,0,0,10,1,0
"S11",1,21,0,0,1,0,0
"S12",5,13,0,0,13,0,0
"S13",0,0,0,28,0,0,0
"S14",0,0,0,17,0,7,0
"S15",9,0,16,0,0,0,0
"S16",0,0,0,0,0,21,1
"S17",2,13,0,0,0,6,0
"S18",3,1,0,9,10,3,0
"S19",0,0,0,12,15,0,0
"S20",0,5,0,7,6,9,0
"S21",0,0,0,0,0,1,25
"S22",0,1,12,0,0,13,0
"S23",0,0,0,0,27,0,0
"S24",0,0,0,0,0,0,29
"S25",1,0,0,0,23,0,0
"S26",0,10,0,14,6,0,0
"S27",0,11,0,0,0,7,0
"S28",0,8,10,1,0,5,0
"S29",0,0,0,0,0,0,24
"S30",0,0,30,1,0,0,0
"S31",0,0,0,0,0,34,0
"S32",3,0,1,0,19,0,0
"S33",11,0,0,0,1,11,0
"S34",0,5,0,0,11,10,0
"S35",0,25,0,0,0,0,0
"S36",0,1,19,0,3,0,0
"S37",0,14,8,0,0,7,0
"S38",0,0,0,0,12,16,0
"S39",0,0,11,1,16,0,0
"S40",30,0,0,1,0,0,0
"S41",0,11,0,0,0,17,0
"S42",0,0,0,0,0,25,7
"S43",0,0,6,10,0,10,0
"S44",0,0,0,9,0,11,0
"S45",7,1,20,0,0,0,0
"S46",0,0,0,0,20,0,0
"S47",0,15,0,0,0,9,0
"S48",0,12,0,0,0,12,0
"S49",0,9,0,2,0,0,6
"S50",0,18,0,0,0,10,0
"S51",0,0,10,10,0,9,0
"S52",0,0,0,0,0,26,0
"S53",11,0,0,4,0,8,0
"S54",14,10,0,7,0,0,0
"S55",0,1,2,0,21,5,0
"S56",0,0,2,0,0,27,0
"S57",0,20,0,0,0,0,0
"S58",8,0,0,1,0,8,0
"S59",11,0,4,0,9,0,0
"S60",0,4,0,10,6,8,0
"S61",0,0,0,0,0,16,0
"S62",3,1,9,6,3,0,0
"S63",0,0,21,0,0,0,0
"S64",0,0,0,0,14,11,0
"S65",11,0,0,8,8,0,0
"S66",6,0,15,0,0,0,0
"S67",0,17,0,8,0,0,0
"S68",0,0,0,17,3,0,0
"S69",11,0,0,0,0,16,0
"S70",0,18,0,0,4,10,0
"S71",9,0,0,0,0,9,0
"S72",0,0,0,0,27,0,0
"S73",5,7,7,9,3,0,0
"S74",0,17,0,0,0,0,0
"S75",0,9,0,11,0,7,0
"S76",0,13,0,12,0,1,0
"S77",0,0,0,0,0,19,1
"S78",0,0,0,21,0,0,0
"S79",0,16,2,0,0,0,0
"S80",0,6,0,1,0,23,0
"S81",8,11,3,1,0,7,0
"S82",15,0,13,0,0,0,0
"S83",12,2,1,0,0,17,0
"S84",0,0,10,0,15,0,0
"S85",14,0,0,21,0,0,0
"S86",0,0,0,0,12,8,0
"S87",0,9,11,10,0,0,0
"S88",2,1,0,0,0,18,0
"S89",0,3,0,8,0,16,0
"S90",0,0,25,0,0,0,0
"S91",33,0,0,0,0,0,0
"S92",0,2,21,1,1,0,3
"S93",0,9,7,0,0,0,0
"S94",17,13,0,0,0,1,0
"S95",0,0,13,3,11,0,0
"S96",0,7,0,0,13,0,0
"S97",0,7,9,9,0,0,0
"S98",16,0,0,0,0,18,0
"S99",0,0,20,0,0,0,4
"S100",0,1,0,0,8,2,19
"S101",0,0,12,6,0,1,1
"S102",0,8,9,0,0,0,0
"S103",15,13,0,0,0,0,0
"S104",0,12,13,0,0,0,0
"S105",0,0,24,0,0,0,0
"S106",0,0,33,0,0,0,0
"S107",1,6,14,0,0,0,0
"S108",8,0,2,5,5,4,0
"S109",0,10,12,0,0,0,0
"S110",0,0,0,0,0,26,0
"S111",2,0,0,0,0,25,0
"S112",0,0,9,0,0,14,0
"S113",0,0,0,0,17,5,0
"S114",0,1,0,0,0,0,28
"S115",2,35,0,0,0,0,0
"S116",6,0,3,0,3,10,0
"S117",0,5,22,0,0,0,0
"S118",20,0,0,0,0,2,0
"S119",0,5,9,0,6,6,0
"S120",5,3,6,0,1,0,0
"S121",0,1,7,3,7,0,0
"S122",0,0,0,20,0,1,3
"S123",0,0,0,0,0,18,0
"S124",0,0,24,0,0,0,0
"S125",5,13,0,0,7,0,0
"S126",21,1,4,0,0,0,0
"S127",1,0,0,0,0,25,0
"S128",7,0,0,5,0,11,0
"S129",1,10,2,0,0,6,0
"S130",0,16,4,2,0,0,0
"S131",7,8,0,7,0,7,0
"S132",0,0,0,22,0,0,0
"S133",11,8,7,0,0,0,0
"S134",1,0,24,0,0,0,0
"S135",0,1,0,0,10,10,0
"S136",0,7,0,0,17,0,0
"S137",0,6,11,0,2,4,0
"S138",0,0,17,0,1,1,0
"S139",0,1,0,0,17,9,0
"S140",0,11,6,0,0,0,0
"S141",23,0,0,0,0,6,0
"S142",0,0,8,16,11,0,0
"S143",14,1,1,0,3,0,3
"S144",0,30,0,0,0,0,3
"S145",11,5,0,9,0,0,0
"S146",20,13,0,0,0,1,0
"S147",6,9,0,5,0,0,0
"S148",8,0,10,0,0,0,0
"S149",0,0,11,0,18,0,0
"S150",0,6,0,6,1,7,0
"S151",1,13,0,0,0,18,0
"S152",0,2,16,0,0,12,0
"S153",0,0,20,0,0,0,0
"S154",0,0,0,12,16,1,0
"S155",12,0,7,0,0,8,0
"S156",0,0,21,0,10,0,0
"S157",0,12,0,0,19,0,0
"S158",12,0,7,2,0,0,0
"S159",0,8,0,5,7,0,0
"S160",0,0,0,14,1,9,0
"S161",0,0,0,0,12,20,0
"S162",22,0,2,0,0,10,0
"S163",0,0,26,0,0,0,0
"S164",0,0,0,25,1,0,0
"S165",5,10,0,12,0,0,0
"S166",16,0,0,0,4,0,0
"S167",0,0,0,0,2,18,0
"S168",5,0,15,0,0,0,0
"S169",17,0,0,0,0,0,0
"S170",33,0,0,0,0,2,0
"S171",4,0,0,10,4,0,0
"S172",0,0,10,3,10,0,0
"S173",3,0,2,7,0,3,1
"S174",0,0,26,0,0,0,0
"S175",0,0,18,0,0,0,0
"S176",0,0,22,0,12,0,0
"S177",0,0,0,0,17,0,8
"S178",0,0,0,0,12,8,0
"S179",0,0,32,0,0,0,0
"S180",1,0,0,0,19,0,0
"S181",0,0,0,3,8,11,0
"S182",13,0,0,0,0,16,0
"S183",0,0,0,14,0,9,0
"S184",0,0,2,0,0,1,10
"S185",0,0,0,24,0,0,2
"S186",13,0,1,0,2,13,0
"S187",0,1,0,21,0,0,0
"S188",0,0,9,18,0,0,0
"S189",2,0,0,0,0,0,27
"S190",0,0,0,9,19,0,0
"S191",0,0,0,7,0,14,0
"S192",0,10,8,2,4,0,0
"S193",0,7,0,0,15,4,0
"S194",0,0,0,0,0,30,0
"S195",2,0,0,23,0,0,0
"S196",0,12,0,0,7,0,6
"S197",0,0,5,0,16,0,0
"S198",0,0,0,0,18,0,0
"S199",0,2,0,1,0,17,0
"S200",10,16,0,0,0,1,0
"S201",0,8,0,1,0,16,0
"S202",0,0,0,0,19,0,0
"S203",7,9,0,0,9,0,0
"S204",0,0,19,4,0,6,0
"S205",16,0,0,0,4,0,0
"S206",0,0,38,0,0,0,0
"S207",1,5,0,0,0,17,0
"S208",0,0,0,0,0,36,0
"S209",0,0,4,0,21,0,0
"S210",2,4,23,0,0,0,2
"S211",0,2,0,2,8,7,0
"S212",8,0,0,10,14,0,0
"S213",1,0,0,0,10,18,0
"S214",0,5,13,17,0,0,0
"S215",0,12,0,18,0,0,0
"S216",12,0,0,0,0,16,0
"S217",13,0,0,0,17,0,0
"S218",6,4,7,0,3,0,1
"S219",0,14,12,0,0,0,0
"S220",7,0,0,1,10,0,0
"S221",5,0,8,7,8,0,0
"S222",10,0,3,4,0,2,0
"S223",0,0,0,9,4,10,0
"S224",0,0,0,13,16,0,0
"S225",0,24,1,0,0,0,2
"S226",0,0,20,0,8,0,0
"S227",0,0,0,0,0,26,0
"S228",0,0,0,0,13,13,0
"S229",0,0,9,0,13,0,0
"S230",1,0,0,0,20,0,0
"S231",23,1,0,0,0,0,2
"S232",0,0,0,18,0,0,0
"S233",9,5,14,2,0,0,0
"S234",0,0,12,0,0,19,0
"S235",0,7,0,12,0,0,0
"S236",10,1,10,0,0,3,0
"S237",0,0,0,0,16,7,0
"S238",8,12,0,0,0,9,0
"S239",3,0,0,0,0,13,10
"S240",0,0,16,14,0,0,0
"S241",0,0,0,0,16,0,0
"S242",0,0,0,0,18,8,0
"S243",0,17,0,0,15,5,0
"S244",0,21,0,0,0,0,0
"S245",0,0,0,2,29,0,0
"S246",14,0,0,5,1,0,0
"S247",0,0,16,0,0,5,0
"S248",0,0,0,0,15,0,0
"S249",0,1,9,23,0,0,0
"S250",0,0,0,0,24,0,0
"S251",0,0,0,28,0,0,0
"S252",0,6,0,9,0,12,0
"S253",9,0,0,1,13,0,0
"S254",0,0,0,5,0,19,0
"S255",27,0,1,0,0,0,0
"S256",0,0,0,0,0,30,0
"S257",4,22,0,5,0,0,0
"S258",1,0,10,5,14,0,0
"S259",0,15,0,0,8,8,0
"S260",0,0,0,18,0,9,0
"S261",3,5,0,0,1,18,0
"S262",0,11,0,0,7,1,0
"S263",0,0,0,0,22,0,0
"S264",0,0,0,24,0,0,0
"S265",0,0,0,11,0,11,0
"S266",3,0,4,5,9,2,0
"S267",0,0,0,16,0,0,0
"S268",0,0,11,0,0,12,0
"S269",0,0,21,0,0,0,0
"S270",0,7,6,4,11,0,0
"S271",23,0,0,0,0,1,0
"S272",17,0,0,0,10,0,0
"S273",0,0,28,0,0,0,0
"S274",0,28,0,0,5,0,0
"S275",24,0,0,0,1,0,0
"S276",17,0,0,0,2,5,0
"S277",0,34,0,0,0,0,0
"S278",0,0,0,21,0,0,0
"S279",0,8,16,0,0,0,0
"S280",24,0,0,0,0,0,0
"S281",28,0,0,0,0,0,0
"S282",0,9,21,0,0,0,0
"S283",0,6,0,0,0,17,0
"S284",0,0,0,0,0,30,0
"S285",0,0,0,0,6,10,0
"S286",0,0,0,30,0,1,0
"S287",2,1,20,4,0,0,1
"S288",0,0,23,0,0,0,1
"S289",13,9,0,0,0,3,0
"S290",0,0,0,22,0,2,0
"S291",1,11,0,13,0,0,0
"S292",0,0,6,0,7,0,8
"S293",1,0,19,0,0,1,0
"S294",19,0,0,0,2,0,0
"S295",0,0,20,0,0,0,0
"S296",0,0,0,0,9,15,0
"S297",1,29,0,0,0,0,0
"S298",7,6,0,0,5,0,0
"S299",0,1,16,0,0,0,0
"S300",0,1,0,0,31,0,0
"S301",0,11,0,0,12,9,0
"S302",0,14,12,0,0,0,0
"S303",0,21,0,0,7,0,0
"S304",1,0,0,2,0,26,0
"S305",0,10,12,0,0,0,0
"S306",5,11,0,0,8,0,0
"S307",0,0,11,0,8,11,0
"S308",24,0,0,0,0,0,0
"S309",17,0,0,0,0,9,0
"S310",12,0,0,0,12,0,0
"S311",0,0,0,1,1,21,0
"S312",36,0,0,1,0,0,0
"S313",2,0,0,0,15,0,0
"S314",11,0,0,12,0,0,0
"S315",23,2,1,0,0,0,0
"S316",0,0,0,0,15,17,1
"S317",26,0,0,0,0,0,0
"S318",0,0,0,18,0,0,1
"S319",0,0,15,0,0,0,14
"S320",0,2,0,0,26,0,0
"S321",0,0,5,0,10,3,0
"S322",16,0,0,0,13,0,0
"S323",0,12,0,0,0,10,0
"S324",0,14,0,0,10,0,0
"S325",1,0,0,15,0,0,0
"S326",0,1,1,4,0,0,21
"S327",0,0,0,0,24,0,0
"S328",0,0,28,0,0,0,0
"S329",17,4,0,0,0,0,0
"S330",1,0,0,9,9,0,0
"S331",4,5,4,0,6,0,0
"S332",2,6,5,0,0,0,1
"S333",0,0,0,0,0,19,0
"S334",0,13,5,9,5,0,0
"S335",0,0,0,32,0,0,0
"S336",3,0,0,0,0,23,0
"S337",13,0,0,0,5,0,0
"S338",0,33,0,0,0,0,0
"S339",0,0,22,0,0,0,0
"S340",0,0,23,0,0,0,0
"S341",8,2,4,2,0,6,0
"S342",0,0,0,29,0,0,0
"S343",10,0,0,0,0,13,0
"S344",0,6,0,2,7,9,0
"S345",17,0,0,4,0,8,0
"S346",1,0,0,1,0,29,1
"S347",12,0,0,0,11,0,1
"S348",0,0,22,2,0,0,0
"S349",4,12,0,8,2,0,0
"S350",0,0,0,5,15,0,0
"S351",32,0,0,0,0,0,1
"S352",10,0,1,0,18,0,0
"S353",11,0,0,4,0,7,0
"S354",11,0,0,9,0,7,0
"S355",7,0,0,5,6,0,0
"S356",0,0,23,0,2,0,0
"S357",7,0,4,0,6,3,0
"S358",21,0,0,0,0,0,1
"S359",30,0,0,0,0,0,0
"S360",0,0,0,12,0,8,0
"S361",0,1,15,17,0,0,0
"S362",9,0,0,0,18,0,0
"S363",19,0,0,8,0,0,0
"S364",8,13,10,0,0,0,0
"S365",22,0,0,0,0,8,0
"S366",11,1,5,13,0,0,0
"S367",0,0,0,11,0,16,0
"S368",0,0,0,37,0,0,0
"S369",0,5,6,10,0,8,0
"S370",21,0,0,0,0,0,0
"S371",11,0,0,0,0,12,0
"S372",5,0,0,14,0,0,6
"S373",0,0,22,0,0,0,0
"S374",0,0,5,0,0,7,0
"S375",11,0,7,7,0,0,0
"S376",0,0,0,12,0,17,0
"S377",9,0,11,1,0,0,0
"S378",6,0,0,14,0,0,1
"S379",0,0,3,21,0,0,0
"S380",0,0,0,7,13,0,1
"S381",0,0,0,3,10,6,0
"S382",0,12,0,13,2,0,0
"S383",0,26,0,0,1,0,0
"S384",0,2,0,1,20,0,0
"S385",0,0,0,15,12,0,0
"S386",0,22,0,13,0,0,0
"S387",0,0,1,0,0,24,0
"S388",0,0,6,9,12,0,0
"S389",0,1,14,0,9,0,0
"S390",0,0,0,19,0,0,0
"S391",0,0,0,0,6,9,0
"S392",8,0,0,17,0,0,3
"S393",0,0,0,0,12,14,0
"S394",0,0,0,18,1,0,0
"S395",0,0,0,0,18,0,0
"S396",0,17,1,0,6,0,0
"S397",4,18,0,0,1,0,0
"S398",0,0,12,0,16,0,0
"S399",0,7,0,11,0,0,0
"S400",0,3,0,4,8,7,0
"S401",9,3,7,0,0,7,0
"S402",0,0,0,0,0,25,0
"S403",0,6,0,0,10,13,0
"S404",17,0,0,12,0,0,0
"S405",2,0,0,24,0,0,0
"S406",0,5,16,0,0,0,0
"S407",0,0,23,0,0,1,1
"S408",0,0,0,21,1,0,0
"S409",0,0,0,35,0,0,0
"S410",0,23,0,0,0,0,0
"S411",0,0,0,0,0,23,0
"S412",0,0,0,0,14,22,0
"S413",0,0,0,0,0,22,0
"S414",0,0,0,0,23,0,0
"S415",0,0,0,16,9,0,0
"S416",0,0,22,0,0,0,0
"S417",7,0,4,0,0,7,0
"S418",0,27,0,0,0,0,0
"S419",1,22,0,10,0,0,0
"S420",5,0,1,23,0,0,0
"S421",0,9,10,0,0,4,0
"S422",0,0,0,14,0,13,0
"S423",0,0,0,0,0,28,0
"S424",0,0,0,0,0,29,0
"S425",0,19,0,0,0,2,0
"S426",17,0,4,0,0,4,0
"S427",0,0,0,20,0,5,0
"S428",0,1,0,0,0,0,14
"S429",0,0,0,0,21,0,0
"S430",18,0,0,0,0,0,0
"S431",0,1,0,0,11,10,0
"S432",14,6,0,8,0,1,0
"S433",5,0,26,0,0,0,0
"S434",12,14,0,0,0,0,0
"S435",0,0,4,0,0,16,0
"S436",0,0,12,2,0,0,0
"S437",1,0,0,24,0,0,0
"S438",0,15,0,0,0,9,0
"S439",0,0,0,26,0,0,0
"S440",3,19,0,0,13,0,1
"S441",6,1,0,0,13,11,0
"S442",0,0,0,0,23,0,0
"S443",0,0,27,0,0,0,0
"S444",0,15,0,0,0,10,0
"S445",0,0,16,17,0,0,0
"S446",0,0,0,0,21,1,0
"S447",0,3,10,0,0,5,0
"S448",0,0,0,0,15,7,0
"S449",0,4,0,15,17,0,0
"S450",0,0,0,24,5,0,0
"S451",0,0,0,0,13,10,0
"S452",0,16,0,0,10,0,2
"S453",0,0,0,24,0,0,0
"S454",0,11,3,0,8,0,0
"S455",3,0,0,21,0,0,0
"S456",0,0,0,0,2,0,21
"S457",0,0,9,0,15,0,0
"S458",1,0,16,0,0,1,1
"S459",0,0,0,0,0,28,0
"S460",11,0,0,0,10,0,0
"S461",0,0,4,10,0,5,0
"S462",11,13,0,0,1,0,0
"S463",6,4,0,0,0,8,0
"S464",0,0,10,0,0,16,2
"S465",3,8,4,5,0,0,0
"S466",6,0,0,0,6,6,0
"S467",0,7,7,4,5,0,0
"S468",0,0,0,0,20,0,0
"S469",15,12,0,0,0,0,1
"S470",23,0,0,0,1,0,1
"S471",12,0,7,6,0,0,0
"S472",8,12,0,0,14,0,4
"S473",1,7,0,14,0,0,1
"S474",9,10,0,0,7,0,0
"S475",5,4,0,3,1,0,0
"S476",0,25,0,0,0,1,0
"S477",0,0,17,0,0,0,0
"S478",0,5,6,5,0,5,0
"S479",2,0,3,6,0,4,0
"S480",0,27,0,0,0,0,0
"S481",0,9,0,17,0,0,0
"S482",0,0,0,0,7,22,0
"S483",0,13,0,0,2,17,0
"S484",0,0,0,2,0,18,0
"S485",0,0,0,0,24,0,0
"S486",0,31,0,0,0,0,0
"S487",6,0,7,0,13,0,0
"S488",0,0,5,0,0,17,0
"S489",12,0,11,0,0,0,0
"S490",1,0,0,9,12,0,0
"S491",3,6,1,0,0,12,0
"S492",0,9,6,4,1,3,0
"S493",0,7,8,0,0,0,4
"S494",0,0,0,0,21,0,0
"S495",0,12,0,4,0,1,7
"S496",0,14,18,0,0,0,0
"S497",0,1,0,4,0,30,0
"S498",0,0,0,29,0,0,0
"S499",0,0,0,30,0,0,0
"S500",0,0,14,9,0,1,0
