"","T1","T2","T3","T4","T5","T6","T7"
"S1",4,0,0,2,0,0,0
"S2",0,0,0,7,0,6,0
"S3",9,6,0,0,0,1,0
"S4",0,3,0,6,0,0,1
"S5",0,4,5,0,0,2,0
"S6",0,0,4,0,3,3,0
"S7",0,0,5,3,0,0,0
"S8",0,5,0,0,0,0,0
"S9",6,4,1,4,0,0,0
"S10",3,0,0,0,10,0,0
"S11",6,0,0,3,0,0,0
"S12",0,0,2,0,0,6,0
"S13",0,0,0,0,8,0,0
"S14",0,2,1,1,0,0,0
"S15",0,8,0,0,1,0,0
"S16",0,8,1,0,0,0,0
"S17",1,2,0,2,1,1,0
"S18",2,0,3,0,3,2,0
"S19",3,0,3,0,3,2,0
"S20",0,0,2,0,0,14,0
"S21",0,0,9,0,5,0,0
"S22",0,4,0,4,0,2,0
"S23",0,0,4,5,0,0,0
"S24",0,0,0,0,8,5,0
"S25",0,0,2,0,0,6,0
"S26",0,0,0,1,0,9,0
"S27",0,6,1,0,0,0,0
"S28",0,0,8,2,0,0,0
"S29",0,1,0,0,0,0,6
"S30",0,0,0,0,1,0,5
"S31",0,3,0,0,0,1,0
"S32",2,0,0,0,2,10,0
"S33",5,0,2,5,0,0,0
"S34",0,0,2,0,0,2,0
"S35",0,0,3,3,0,8,0
"S36",0,3,0,4,0,4,0
"S37",2,1,0,3,1,2,0
"S38",0,0,0,12,0,0,0
"S39",0,8,0,0,0,0,0
"S40",0,0,1,3,0,4,0
"S41",0,0,1,2,0,3,0
"S42",0,4,0,5,0,0,0
"S43",2,6,0,0,2,0,0
"S44",8,0,0,0,0,0,0
"S45",0,1,0,0,7,0,0
"S46",0,3,4,0,0,1,0
"S47",0,0,0,3,6,0,0
"S48",0,7,3,0,0,0,0
"S49",0,0,12,0,0,2,0
"S50",0,0,0,0,6,0,0
"S51",0,0,0,4,0,4,0
"S52",0,0,8,0,0,0,0
"S53",7,0,0,0,6,0,0
"S54",0,0,3,0,3,0,0
"S55",0,3,0,0,8,0,0
"S56",12,0,9,0,0,0,0
"S57",0,4,7,0,0,0,0
"S58",0,6,0,0,0,1,0
"S59",3,0,0,0,0,5,0
"S60",4,6,0,1,1,0,0
"S61",0,10,0,0,0,0,0
"S62",0,0,0,12,0,0,0
"S63",4,3,1,0,0,1,0
"S64",0,4,0,0,0,0,7
"S65",0,0,4,0,5,0,0
"S66",0,9,0,0,0,1,0
"S67",0,2,1,0,1,2,0
"S68",3,0,6,0,0,0,0
"S69",0,0,0,11,0,0,0
"S70",0,0,0,0,8,5,0
"S71",2,4,4,0,0,0,0
"S72",0,0,2,0,4,5,0
"S73",9,0,0,3,0,0,0
"S74",0,0,1,0,0,3,0
"S75",2,5,0,0,4,0,0
"S76",0,0,0,0,10,4,0
"S77",1,0,5,0,0,0,0
"S78",2,10,0,0,0,0,0
"S79",0,0,1,0,7,0,0
"S80",0,0,0,4,0,4,0
"S81",1,0,12,0,1,0,3
"S82",0,0,0,0,10,0,0
"S83",4,0,0,0,2,0,0
"S84",6,0,6,0,0,0,0
"S85",5,0,0,0,0,0,0
"S86",4,0,1,4,0,0,0
"S87",0,2,6,0,0,0,0
"S88",0,2,5,0,1,0,0
"S89",0,0,0,12,0,1,0
"S90",0,0,0,6,0,3,0
"S91",0,0,7,0,0,1,0
"S92",0,2,0,4,0,3,0
"S93",11,0,0,0,0,0,0
"S94",0,0,6,0,0,0,1
"S95",3,0,0,5,1,0,0
"S96",0,0,0,1,12,0,0
"S97",0,3,0,10,0,7,0
"S98",0,11,0,0,0,0,0
"S99",0,0,0,7,0,0,0
"S100",8,0,0,7,1,0,0
"S101",1,0,0,0,8,0,0
"S102",0,8,1,0,8,0,0
"S103",0,0,0,7,0,4,0
"S104",0,1,0,3,0,4,0
"S105",0,0,5,4,0,0,0
"S106",6,0,0,0,0,7,1
"S107",3,0,0,1,0,2,0
"S108",3,2,0,0,3,0,0
"S109",0,0,5,0,0,5,0
"S110",0,0,4,0,5,0,0
"S111",0,13,0,0,0,0,0
"S112",0,0,0,0,8,2,0
"S113",0,0,0,0,9,0,0
"S114",0,0,0,3,3,0,0
"S115",0,0,0,1,0,11,0
"S116",1,11,0,0,0,0,0
"S117",0,0,0,0,1,5,0
"S118",0,15,0,0,0,0,0
"S119",0,0,0,0,0,0,6
"S120",0,14,0,0,0,0,0
"S121",5,0,0,5,0,0,0
"S122",5,0,3,0,0,6,0
"S123",0,0,5,0,0,0,0
"S124",0,0,0,0,0,13,0
"S125",0,5,3,0,2,0,0
"S126",2,0,0,0,0,7,0
"S127",0,0,0,0,6,4,0
"S128",1,0,2,1,0,0,1
"S129",2,1,0,4,0,1,0
"S130",0,1,5,1,0,0,0
"S131",0,0,5,0,0,0,0
